Andere Situation, nämlich:;Another situation, namely:;Autre situation, c’est-à-dire:;Aner Situatioun, nämlech:;Outra situação, nomeadamente:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin teilzeiterwerbstätig;I am in part-time employment;Je travaille à temps partiel;Ech si deelzäiterwerbstäteg;Sou trabalhador a tempo parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin gelegentlich oder unregelmäßig beschäftigt (z.B. Nebenjob, Freelance, Saisonarbeiter);I am in temporary or non-regular employment (e.g. side job, freelance, seasonal worker);Je suis employé occasionnel ou irrégulier (p. ex. petit boulot, freelance, travailleur saisonnier);Ech si geleeëntlech oder onregelméisseg beschäftegt (z.B. Niewenjob, Freelance, Saisonsaarbechter);Sou trabalhador ocasional ou irregular (p. ex., trabalho secundário, freelance, trabalhador sazonal);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin in einer Arbeitsbeschaffungsmaßnahme (z.B. über die ADEM, Initiativ Rëm Schaffen);I am in a job creation scheme (e.g. via ADEM, Initiativ Rëm Schaffen);Je suis bénéficiant d’une mesure de réinsertion des chômeurs (p. ex. via l’ADEM, Initiativ Rëm Schaffen);Ech sinn an enger Aarbechtsbeschafungsmoossnam (z.B. iwwer d‘ADEM, Initiativ Rëm Schaffen);Estou a participar numa medida de criação de emprego (p. ex., por meio da ADEM, Initiativ Rëm Schaffen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich habe keine Arbeit und bin nicht auf Jobsuche;I am unemployed and not looking for work;Je n’ai pas de travail et je n’en cherche pas non plus;Ech hu keng Aarbecht a sichen och net no engem Job;Não tenho trabalho e não estou à procura de emprego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<div>Und welche der folgenden Lebenssituationen trifft auf Dich &uuml;;;;;;"><span style=""""font-size:16px";">Please choose one answer only.</span></span>"",""Et parmi les situations de vie suivantes, laquelle te correspond le mieux&nbsp";?&nbsp;"<br /><U+2798><br /><U+2798><span style=""""color:#666666";"><span style=""""font-size:16px";>S&eacute;lectionne une seule r&eacute;"ponse.</span></span>"",""A wat fir eng vun de folgende Liewenssituatiounen tr&euml";fft op Dech gr&eacute;"isstendeels zou?<br /><U+2798><br /><U+2798><span style=""""font-size:16px";"><span style=""""color:#666666";>W.e.g. wiel n&euml;mmen eng &Auml;"ntwert aus.</span></span>"",""E qual das seguintes situações de vida mais se aplica a ti?&nbsp";"<br><U+2798><br><U+2798><span style=""""color:#666666";"><span style=""""font-size:16px";">Seleciona apenas uma resposta.</span></span>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin Schüler (Enseignement Secondaire);I am a student (Enseignement Secondaire);Je suis élève (Enseignement Secondaire);Ech si Schüler (Enseignement Secondaire);Sou estudante (Enseignement Secondaire);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin in einer Berufsausbildung (CCP, DAP, DT), Weiterbildung (BM) oder Umschulung (z.B. CNFPC);I am in vocational training (CCP, DAP, DT), continuing education (BM) or retraining (e.g. CNFPC);Je suis en formation professionnelle (CCP, DAP, DT), en formation complémentaire (BM) ou en réorientation professionnelle (p. ex. CNFPC);Ech sinn an enger berufflecher Formatioun (CCP, DAP, DT), Weiderbildung (BM) oder Reconversion professionnelle (z.B. CNFPC);Estou a realizar formação profissional (CCP, DAP, DT), formação contínua (BM) ou reciclagem (p. ex. CNFPC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin Student (Universität oder Fachhochschule);I am a student (University or Technical College);Je suis étudiant(e) (Université ou École Supérieure Spécialisée);Ech si Student (Universitéit oder Fachhéichschoul);Sou estudante do ensino superior (Universidade ou Instituto Superior Técnico);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin vollzeiterwerbstätig;I am in full-time employment;Je travaille à plein temps;Ech si vollzäiterwerbstäteg;Sou trabalhador a tempo inteiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich habe keine Arbeit, aber bin auf Jobsuche;I am unemployed but looking for work;Je n’ai pas de travail, mais j’en recherche un;Ech hu keng Aarbecht, awer sinn op der Sich no engem Job;Não tenho trabalho, mas estou à procura de emprego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich kümmere mich um den Haushalt oder die Betreuung von anderen Personen im Haushalt;I look after the house or take care of other people in the household;Je m’occupe du ménage ou je m’occupe d’autres personnes chez moi;Ech bekëmmere mech ëm de Stot oder d’Betreiung vun anere Persounen am Stot;Ocupo-me da casa ou cuido de outras pessoas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin chronisch krank oder körperlich beeinträchtigt oder psychisch beeinträchtigt;I have a chronic condition or physical disability or mental disability;Je souffre d’une maladie chronique ou j’ai un handicap physique ou je souffre de troubles psychiques;Ech si chronesch krank oder kierperlech handicapéiert oder psychesch handicapéiert;Sou portador de doença crónica ou limitações físicas ou limitações psíquicas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich befinde mich in Elternzeit (congé parental) oder kümmere mich um die Betreuung von Kindern;I am on parental leave (congé parental) or looking after children;Je suis en congé parental ou bien je garde des enfants;Ech sinn am Congé parental oder bekëmmere mech ëm d’Betreiung vu Kanner;Estou em período de licença parental (congé parental) ou cuido de crianças;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich befinde mich im Freiwilligendienst (z.B. service volontaire);I am doing voluntary service;J’effectue mon service volontaire;Ech sinn am Benevolat (z.B. service volontaire);Estou a prestar serviço voluntário (p. ex., service volontaire);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andere Situation, nämlich:;Another situation, namely:;Autre situation, c’est-à-dire:;Aner Situatioun, nämlech:;Outra situação, nomeadamente:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin teilzeiterwerbstätig;I am in part-time employment;Je travaille à temps partiel;Ech si deelzäiterwerbstäteg;Sou trabalhador a tempo parcial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin gelegentlich oder unregelmäßig beschäftigt (z.B. Nebenjob, Freelance, Saisonarbeiter);I am in temporary or non-regular employment (e.g. side job, freelance, seasonal worker);Je suis employé occasionnel ou irrégulier (p. ex. petit boulot, freelance, travailleur saisonnier);Ech si geleeëntlech oder onregelméisseg beschäftegt (z.B. Niewenjob, Freelance, Saisonsaarbechter);Sou trabalhador ocasional ou irregular (p. ex., trabalho secundário, freelance, trabalhador sazonal);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin in einer Arbeitsbeschaffungsmaßnahme (z.B. über die ADEM, Initiativ Rëm Schaffen);I am in a job creation scheme (e.g. via ADEM, Initiativ Rëm Schaffen etc.);Je suis en réorientation professionnelle ou bénéficiant d’une mesure de réinsertion des chômeurs (p. ex. via l’ADEM, Initiativ Rëm Schaffen, etc.);Ech sinn a Reconversion professionnelle oder an enger Aarbechtsbeschafungsmoossnam (z.B. iwwer d‘ADEM, Initiativ Rëm schaffen etc.);Estou a participar numa medida de criação de emprego (p. ex., por meio da ADEM, Initiativ Rëm Schaffen, etc.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich habe keine Arbeit und bin nicht auf Jobsuche;I am unemployed and not looking for work;Je n’ai pas de travail et je n’en cherche pas non plus;Ech hu keng Aarbecht a sichen och net no engem Job;Não tenho trabalho e não estou à procura de emprego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<div>Wie viele Besch&auml;;;;;;"><span style=""""font-size:16px";>Unter abh&auml;ngiger Besch&auml;ftigung verstehen wir eine Arbeit, f&uuml;r die Du Lohn erh&auml;"ltst.</span></span></div>"",""How many paid employment relationships do you have?<br /><U+2798><br /><U+2798><span style=""""font-size:16px";"><span style=""""color:#666666";">Paid employment means any work for which you receive a wage.</span></span>"",""<div>Combien d&rsquo";emplois salari&eacute;s as-tu&nbsp;?</div><U+2798><U+2798><div>&nbsp;"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";>Par emploi salari&eacute;" nous entendons un travail pour lequel tu touches un salaire.</span></span></div>"",""<div>W&eacute";i vill Besch&auml;ftegungsverh&auml;ltnesser an ofh&auml;ngeger Besch&auml;ftegung hues Du?</div><U+2798><U+2798><div>&nbsp;"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";>&Euml;nner ofh&auml;ngeger Besch&auml;ftegung versti mir eng Aarbecht, fir d&eacute;"i Du eng Pai kriss.</span></span></div>"",""<div>Quantas rela&ccedil";&otilde;es de trabalho remunerado tens?</div><U+2798><U+2798><div>&nbsp;"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";>Como trabalho remunerado consideramos um trabalho pelo qual recebes um sal&aacute;"rio.</span></span></div>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eines;One;Un;Eent;Uma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zwei;Two;Deux;Zwee;Duas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mehr als zwei;More than two;Plus de deux;Méi wéi zwee;Mais de duas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin nicht abhängig beschäftigt;I am not in paid employment;Je n’ai pas d’emploi salarié;Ech sinn net ofhängeg beschäftegt;Não tenho trabalho remunerado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Was f&uuml;;;;;;tigkeit aus&uuml;bst, gib bitte hier die an, welche die h&ouml;chste w&ouml;chentliche Stundenzahl beansprucht. Wenn Du in zwei T&auml;tigkeiten gleich viele Stunden arbeitest, dann gib bitte die T&auml;tigkeit an, in der die Bezahlung h&ouml;"her ist.</span></span>"",""<p>What sort of employment contract do you have for your main paid employment?</p><U+2798><U+2798><p>&nbsp";"</p><U+2798><U+2798><p><span style=""""font-size:16px";"><span style=""""color:#666666";"><span style=""""color:#666666";"><span style=""""font-size:16px";">If you have <U+2798>multiple professional activities, please choose the one that takes up <U+2798>the greatest number of hours per week. If you have two jobs that are exactly equal, please choose the one for which you receive <U+2798>the highest income.</span></span></span></span></p>"",""Quel type de contrat de travail as-tu pour ton activité rémunérée principale&nbsp";? &nbsp;"<br><U+2798><br><U+2798><span style=""""color:#666666";"><span style=""""font-size:16px";">Si tu exerces plusieurs activités professionnelles, indique celle qui exige le plus grand nombre d’heures par semaine. Si elles sont à égalité, indique l’activité qui te rapporte le salaire ou le revenu le plus élevé.</span></span>"",""<div>Wat fir een Aarbechtskontrakt hues Du an Denger bezuelten Haaptaktivitéit? &nbsp";" <br></div><div><br></div><p><span style=""""color:#666666";"><span style=""""font-size:16px";">Wann s De e puer berufflechen Aktivitéiten nogees, gëff w.e.g. hei déi un, déi déi héchst Stonnenzuel pro Woch a Usproch hëlt. Wann s Du zwou Aktivitéiten hues, fir déi s Du déi selwecht Stonnenzuel schaffs, dann huel w.e.g. déi, aus där Du dat héchst Akommes bezitts.</span></span></p>"",""<div>Que tipo de contrato de trabalho tens na tua principal atividade remunerada?</div><U+2798><U+2798><div>&nbsp";"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";"><span style=""""font-size:16px";"><span style=""""color:#666666";">Se exerceres <U+2798>várias atividades profissionais, indica aqui a que te ocupa o maior <U+2798>número de horas por semana. Se as duas forem iguais em termos de tempo, indica a atividade pela qual recebes um maior <U+2798>rendimento.</span></span></span></span></div>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen zeitlich unbefristeten Vertrag (CDI);A permanent contract (CDI);Un CDI;En zäitlech onbefristeten Aarbechtskontrakt (CDI);Um contrato sem termo (CDI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen zeitlich befristeten Vertrag (CDD);A fixed-term contract (CDD);Un CDD;En zäitlech befristeten Aarbechtskontrakt (CDD);Um contrato a termo certo (CDD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen Vertrag mit einer Zeitarbeitsfirma (z.B. Adecco, Manpower);A contract with a temporary employment agency (e.g. Adecco, Manpower);Un contrat auprès d’une agence de travail temporaire (p. ex. Adecco, Manpower);E Kontrakt an enger Zäitaarbechtsfirma (z.B. Adecco, Manpower);Um contrato com uma empresa de trabalho temporário (p. ex., Adecco, Manpower);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen Ausbildungs- oder Traineevertrag oder eine andere Fort- oder Weiterbildungsvereinbarung;A training, trainee contract or other further or continuing education agreement;Un contrat de formation, stage ou une autre convention de formation continue ou de formation complémentaire;E Formatiouns- oder Traineevertrag oder eng aner Eenegung iwwer eng Fort- oder Weiderbildung;Um contrato de formação profissional,  estágio ou outro acordo para formação contínua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen Saisonarbeitsvertrag;A seasonal contract;Un contrat saisonnier;E Saisonsaarbechterkontrakt;Um contrato de trabalho sazonal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keinen Vertrag;No contract;Aucun contrat;Kee Kontrakt;Nenhum contrato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonstiges;Other;Autre;Aner;Outro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weiß nicht;Don’t know;Je ne sais pas;Weess net;Não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<div>Bitte sieh Dir die untenstehenden Berufsbeschreibungen an und w&auml;;;;;;tigkeit aus&uuml;bst, gib bitte hier die an, welche die h&ouml;chste w&ouml;chentliche Stundenzahl beansprucht. Wenn Du in zwei T&auml;tigkeiten gleich viele Stunden arbeitest, dann gib bitte die T&auml;tigkeit an, in der die Bezahlung h&ouml;"her ist.</span></span></div><U+2798></div><U+2798></div><U+2798></div><U+2798></div>"",""<p>Please read the occupational descriptions below and choose the one that best describes your professional activity.</p><U+2798><U+2798><p>&nbsp";"</p><U+2798><U+2798><p><span style=""""font-size:16px";"><span style=""""color:#666666";"><span style=""""color:#666666";"><span style=""""font-size:16px";">If you have <U+2798>multiple professional activities, please choose the one that takes up <U+2798>the greatest number of hours per week. If you have two jobs that are exactly equal, please choose the one for which you receive <U+2798>the highest income.</span></span></span></span></p>"",""<div>Consulte les descriptions des métiers ci-dessous et sélectionne celle qui décrit le mieux ton activité professionnelle.</div><U+2798><U+2798><div>&nbsp";"<div><span style=""""color:#666666";"><span style=""""font-size:16px";">Si tu exerces<U+2798> plusieurs activités professionnelles, indique celle qui exige le plus <U+2798>grand nombre d’heures par semaine. Si elles sont à égalité, indique <U+2798>l’activité qui te rapporte le salaire ou le revenu le plus élevé.</span></span><span style=""""font-size:16px";"><span style=""""color:#666666";"><span style=""""color:#666666";"><span style=""""font-size:16px";"></span></span></span></span></div></div>"",""<div>W.e.g. kuck Dir d’Beruffsbeschreiwungen un, déi ënne stinn, a wiel déi aus, déi Deng berufflech Tätegkeet am beschte beschreift.</div><U+2798><U+2798><div>&nbsp";"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";">Wann s De e <U+2798>puer berufflechen Aktivitéiten nogees, gëff w.e.g. hei déi un, déi déi <U+2798>héchst Stonnenzuel pro Woch a Usproch hëlt. Wann s Du zwou Aktivitéiten <U+2798>hues, fir déi s Du déi selwecht Stonnenzuel schaffs, dann huel w.e.g. <U+2798>déi, aus där Du dat héchst Akommes bezitts.</span></span></div>"",""<div>Lê as seguintes descrições de profissões e seleciona a que melhor descreve a tua atividade profissional.</div><U+2798><U+2798><div>&nbsp";"</div><U+2798><U+2798><div><span style=""""color:#666666";"><span style=""""font-size:16px";"><span style=""""font-size:16px";"><span style=""""color:#666666";">Se exerceres <U+2798>várias atividades profissionais, indica aqui a que te ocupa o maior <U+2798>número de horas por semana. Se as duas forem iguais em termos de tempo, indica a atividade pela qual recebes um maior <U+2798>rendimento.</span></span></span></span></div>""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Führungskraft (z.B. Geschäftsführer, Vorstandsmitglied, leitender Verwaltungsbediensteter);Manager (e.g. managing director, board member, senior official);Cadre directeur (p. ex. PDG, membre du comité directeur, cadre supérieur de l’administration publique);Féierungskraaft (z.B Gerant, Comitésmember, Salarié cadre an der Administratioun);Cargo de chefia (p. ex., gerente, membro da direção, administrador);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akademischer Beruf (z.B. Arzt, Lehrer, Ingenieur, Architekt, Finanzberater, Jurist, Künstler, Journalist);Academic profession (e.g. doctor, teacher, engineer, architect, financial advisor, lawyer, artist, journalist);Profession universitaire (p. ex. médecin, enseignant, ingénieur, architecte, conseiller financier, juriste, artiste, journaliste);Akademesche Beruff (z.B. Dokter, Enseignant, Ingenieur, Architekt, Conseiller fiancier, Jurist, Kënschtler, Journalist);Profissão académica (p. ex., médico, professor, engenheiro, arquiteto, consultor financeiro, advogado, artista, jornalista);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Techniker und gleichrangige nichttechnische Berufe (z.B. Bautechniker, Elektrotechniker, Medizintechniker, Technischer Zeichner, IT, Küchenchef, Assistent im Gesundheitswesen, nicht akademische Fachkraft im Bereich Finanzen und mathematische Verfahren, Fitnesstrainer, Sportler);Technician or non-technical profession of equal rank (e.g. construction technician, electrical technician, medical technician, technical draftsman, IT, head chef, healthcare assistant, non-academic specialist in finance or mathematics, fitness trainer, athlete);Technicien et professions non-techniques équivalentes (p. ex. technicien du génie civil, technicien en électricité, technicien de santé, dessinateur technique, informaticien, chef cuisinier, assistant en soins de santé publique, personnel qualifié non universitaire dans le domaine des finances et méthodes mathématiques, entraîneur physique, sportif);Techniker a vergläichbar net technesch Beruffer (z. B. Bautechniker, Elektrotechniker, Medezintechniker, Techneschen Zeechner, IT, Chef de Cuisine, Assistent am Gesondheetswiesen, net akademesch Fachkraaft am Beräich Finanzen a mathematesch Methoden, Fitnesstrainer, Sportler);Técnico e profissões semelhantes não técnicas (p. ex., técnico de construção, técnico de eletrotecnia, técnico médico, desenhador técnico, chef de cozinha, assistente na área da saúde, profissional não académico no setor financeiro e de processos matemáticos, instrutor de fitness, atleta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bürokraft und verwandte Berufe (z.B. Büro- und Sekretariatskraft, Bürokraft mit Kundenkontakt, Bürokraft im Finanz- und Rechnungswesen);Office worker or related profession (e.g. office worker or secretary, office worker with customer contact, office worker in finance and accounting);Employé de bureau et professions connexes (p. ex. employé de bureau et secrétaire, employé de bureau ayant contact avec des clients, employé de bureau dans le domaine de la finance et de la comptabilité);Büroskraaft a vergläichbar Beruffer (z.B. Büros- a Sekretariatskraaft, Büroskraaft mat Kontakt mat der Clientèle, Büroskraaft am Finanzwiesen an an der Comptabilitéit);Empregado de escritório e profissões relacionadas (p. ex., pessoal de escritório e secretariado, pessoal de escritório com contacto com clientes, pessoal de escritório no setor de contabilidade e finanças);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
